"ITTER107","Territory","TIPO_DATO5","Data type","AGRI_MADRE","Type of crop","TIME","Select time","Value","Flag Codes","Flags"
"ITF61","Cosenza","ART","total area - hectares","SOYA","soya beans","2012","2012",55,,
"ITF61","Cosenza","ART","total area - hectares","SOYA","soya beans","2013","2013",55,,
"ITE1","Toscana","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2010","2010",9059,,
"ITE1","Toscana","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2011","2011",9143,,
"ITE1","Toscana","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2012","2012",2699,,
"ITE1","Toscana","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2013","2013",8568,,
"ITE1","Toscana","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2014","2014",10549,,
"ITE1","Toscana","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2015","2015",10644,,
"ITC4","Lombardia","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2010","2010",1023731,,
"ITC4","Lombardia","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2011","2011",1143828,,
"ITC4","Lombardia","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2012","2012",783475,,
"ITC4","Lombardia","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2013","2013",1079108,,
"ITC4","Lombardia","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2014","2014",1513065,,
"ITC4","Lombardia","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2015","2015",2066938,,
"ITD44","Trieste","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2011","2011",3091,"e","estimate data"
"ITD44","Trieste","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2012","2012",5193,"e","estimate data"
"ITD44","Trieste","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2013","2013",104,,
"ITD44","Trieste","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2014","2014",108,,
"ITD44","Trieste","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2015","2015",15388,,
"ITF4","Puglia","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2010","2010",335,,
"ITF4","Puglia","HP_Q_EXT","harvested production - quintals ","SOYA","soya beans","2011","2011",245,,
"ITC18","Alessandria","TP_QUIN_EXT","total production - quintals ","SOYA","soya beans","2010","2010",41830,"e","estimate data"
